GO.ID	Term	cluster	Fis	Annotated	Significant	Expected	Enrichment
GO:0031152	aggregation involved in sorocarp develop...	1	0.00018	79	10	2.68	3.73134328358209
GO:0042244	spore wall assembly	1	0.00036	5	3	0.17	17.6470588235294
GO:0030435	sporulation resulting in formation of a ...	1	0.00045	37	9	1.25	7.2
GO:0019933	cAMP-mediated signaling	1	0.00094	14	4	0.47	8.51063829787234
GO:0051346	negative regulation of hydrolase activit...	1	0.00119	7	3	0.24	12.5
GO:0005977	glycogen metabolic process	1	0.00185	8	3	0.27	11.1111111111111
GO:0090630	activation of GTPase activity	1	0.00185	8	3	0.27	11.1111111111111
GO:0007155	cell adhesion	1	0.00416	48	9	1.63	5.52147239263804
GO:0007275	multicellular organism development	1	0.00648	36	5	1.22	4.0983606557377
GO:0031589	cell-substrate adhesion	1	0.00661	23	4	0.78	5.12820512820513
GO:0006629	lipid metabolic process	1	0.00786	116	8	3.93	2.03562340966921
GO:0006511	ubiquitin-dependent protein catabolic pr...	2	2.5e-07	42	15	2.67	5.61797752808989
GO:0031156	regulation of sorocarp development	2	8.5e-06	14	7	0.89	7.86516853932584
GO:0051017	actin filament bundle assembly	2	4e-05	12	6	0.76	7.89473684210526
GO:0044671	sorocarp spore cell differentiation	2	4.6e-05	8	5	0.51	9.80392156862745
GO:0051603	proteolysis involved in protein cataboli...	2	6.1e-05	51	20	3.24	6.17283950617284
GO:0018107	peptidyl-threonine phosphorylation	2	7.5e-05	5	4	0.32	12.5
GO:1903013	response to differentiation-inducing fac...	2	5e-04	24	7	1.53	4.57516339869281
GO:0051050	positive regulation of transport	2	0.00093	12	5	0.76	6.57894736842105
GO:0030163	protein catabolic process	2	0.00146	61	24	3.88	6.18556701030928
GO:0000281	mitotic cytokinesis	2	0.00184	64	11	4.07	2.7027027027027
GO:0030587	sorocarp development	2	0.00216	209	32	13.29	2.40782543265613
GO:0070588	calcium ion transmembrane transport	2	0.00229	5	3	0.32	9.375
GO:0043326	chemotaxis to folate	2	0.00238	16	5	1.02	4.90196078431373
GO:0042331	phototaxis	2	0.0024	19	5	1.21	4.13223140495868
GO:0031288	sorocarp morphogenesis	2	0.0038	33	7	2.1	3.33333333333333
GO:0045454	cell redox homeostasis	2	0.00696	28	6	1.78	3.37078651685393
GO:0043405	regulation of MAP kinase activity	2	0.00728	7	3	0.45	6.66666666666667
GO:0032259	methylation	3	0.0017	29	7	2.13	3.28638497652582
GO:0006744	ubiquinone biosynthetic process	3	0.0035	5	3	0.37	8.10810810810811
GO:0006364	rRNA processing	3	0.0038	44	9	3.23	2.78637770897833
GO:0009130	pyrimidine nucleoside monophosphate bios...	3	0.0053	10	3	0.73	4.10958904109589
GO:0062012	regulation of small molecule metabolic p...	3	0.0066	6	3	0.44	6.81818181818182
GO:0007264	small GTPase mediated signal transductio...	3	0.0091	109	14	8.01	1.7478152309613
