wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c	GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID
7.426227e-05	5.481947e-05	6.328635e-05	4.458497e-05	4.195710e-05	1.551152e-06	3.866237e-06	3.420871e-05	2.779152e-05	2.084958e-06	4.129605e-05	2.106737e-06	1.879192e-06	2.728602e-06	2.624510e-06	DDB_G0271642	cks1	NA	cyclin-dependent kinases regulatory subunit	B0G102
2.340680e-05	2.081182e-05	2.226783e-05	2.091982e-05	2.080506e-05	1.491670e-05	2.289924e-05	1.838864e-05	2.056231e-05	1.071799e-05	1.264261e-05	1.027434e-05	1.968841e-06	3.994050e-06	7.414191e-06	DDB_G0295477	nip7	NA	60S ribosome subunit biogenesis protein	B0G104
4.259699e-05	4.875278e-05	2.532571e-05	4.733571e-05	5.015557e-05	4.899793e-05	4.644182e-05	5.061497e-05	4.772622e-05	3.589011e-05	4.296118e-05	4.482116e-05	3.663151e-05	5.146026e-05	4.288688e-05	DDB_G0287009	mcfC	CBP11, slc25a24	mitochondrial substrate carrier family protein C	B0G159
1.707025e-05	1.188442e-05	1.392484e-05	9.627293e-06	6.373297e-06	1.697511e-05	9.166455e-06	1.205264e-05	2.314831e-05	1.049033e-05	1.735011e-05	1.151778e-05	1.050761e-05	1.459592e-05	1.130918e-05	DDB_G0287881	exoc5	sec10	exocyst complex subunit 5	B0G163
3.535716e-05	2.464500e-05	2.994106e-05	2.547773e-05	2.756406e-05	2.768317e-05	2.558346e-05	2.284221e-05	2.468624e-05	2.622527e-05	3.216883e-05	3.364716e-05	2.461010e-05	3.318053e-05	3.240185e-05	DDB_G0290671	rabggtb	NA	protein geranylgeranyltransferase type II, Rab geranylgeranyltransferase beta subunit	B0G172
2.335719e-06	6.995627e-06	8.539126e-06	2.776655e-06	3.189976e-06	2.186540e-06	7.808062e-06	3.952838e-06	3.695046e-06	1.444005e-05	1.850266e-06	9.044882e-06	5.943310e-06	9.871815e-06	1.497006e-05	DDB_G0290851	spc3	NA	signal peptidase complex subunit 3	B0G180
6.235550e-05	1.731460e-06	3.293395e-04	3.497409e-04	1.310115e-04	8.229610e-05	9.976628e-05	2.768005e-06	3.031458e-04	1.942067e-06	7.778633e-05	6.912064e-05	8.062976e-05	7.216234e-05	2.586837e-06	DDB_G0295711	ap1s2	NA	sigma adaptin	B0G185
1.006569e-05	7.082951e-06	8.978911e-06	1.687659e-06	2.282362e-06	8.980780e-06	8.245239e-06	2.777518e-06	6.861160e-06	9.087166e-06	1.057790e-05	9.745596e-06	2.118347e-06	1.053471e-05	7.564407e-06	DDB_G0295709	ufm1	NA	ubiquitin-like Ufm1 family protein	B0G186
3.344924e-05	3.119833e-05	3.212939e-05	3.279914e-05	3.034756e-05	2.700160e-05	2.823568e-05	3.010208e-05	3.405996e-05	3.331749e-05	3.155334e-05	2.901751e-05	3.130146e-05	3.049181e-05	2.777255e-05	DDB_G0286013	repE	XPE, DDB1	UV-damaged DNA binding protein1	B0M0P5
5.084871e-05	2.138117e-06	2.591080e-05	3.575298e-05	3.593573e-05	3.267578e-05	3.019363e-05	4.235729e-05	4.910320e-05	4.775778e-05	4.860724e-05	8.214021e-05	3.352770e-05	7.995532e-05	5.976704e-05	DDB_G0276371	gefL	RasGEFL, RasGEF	Ras guanine nucleotide exchange factor	B0M0P8
