wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c	GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID
26.27556	25.85715	26.05775	25.56649	25.44495	20.67414	22.03406	25.19701	24.86591	21.16190	25.42654	21.17138	21.00422	21.37876	21.49687	DDB_G0271642	cks1	NA	cyclin-dependent kinases regulatory subunit	B0G102
24.60986	24.45986	24.55082	24.47480	24.43297	23.93966	24.60036	24.30146	24.43127	23.52385	23.71883	23.45735	21.07145	21.92845	22.99511	DDB_G0295477	nip7	NA	60S ribosome subunit biogenesis protein	B0G104
25.47368	25.68794	24.73646	25.65286	25.70244	25.65545	25.62049	25.76221	25.64605	25.26740	25.48357	25.58248	25.28912	25.61599	25.52728	DDB_G0287009	mcfC	CBP11, slc25a24	mitochondrial substrate carrier family protein C	B0G159
24.15442	23.65153	23.87352	23.35513	22.72615	24.12615	23.27950	23.69199	24.60218	23.49287	24.17548	23.62216	23.48747	23.79809	23.60424	DDB_G0287881	exoc5	sec10	exocyst complex subunit 5	B0G163
25.20494	24.70376	24.97798	24.75917	24.83882	24.83174	24.76027	24.61434	24.69498	24.81477	25.06620	25.16878	24.71528	24.98286	25.12282	DDB_G0290671	rabggtb	NA	protein geranylgeranyltransferase type II, Rab geranylgeranyltransferase beta subunit	B0G172
21.28487	22.88699	23.16802	21.56135	21.72765	21.16945	23.04810	22.08360	21.95493	23.95389	20.94634	23.27347	22.66537	23.23391	24.00883	DDB_G0290851	spc3	NA	signal peptidase complex subunit 3	B0G180
26.02345	20.87252	28.43736	28.53814	27.08766	26.40355	26.72361	21.56956	28.31321	21.05948	26.34005	26.20742	26.42734	26.10377	21.47601	DDB_G0295711	ap1s2	NA	sigma adaptin	B0G185
23.39238	22.90488	23.24047	20.84303	21.24463	23.20764	23.12670	21.57451	22.84779	23.28572	23.46159	23.38112	21.17704	23.32768	23.02405	DDB_G0295709	ufm1	NA	ubiquitin-like Ufm1 family protein	B0G186
25.12491	25.04393	25.07975	25.12359	24.97761	24.79578	24.90258	25.01250	25.15935	25.16009	25.03833	24.95522	25.06226	24.86095	24.90041	DDB_G0286013	repE	XPE, DDB1	UV-damaged DNA binding protein1	B0M0P5
25.72914	21.17687	24.76941	25.24799	25.22145	25.07095	24.99931	25.50525	25.68709	25.67955	25.66171	26.45639	25.16138	26.25172	26.00610	DDB_G0276371	gefL	RasGEFL, RasGEF	Ras guanine nucleotide exchange factor	B0M0P8
24.26224	24.20940	24.24959	24.57995	24.14164	24.33376	23.90726	24.04011	23.93368	23.79670	24.18380	24.09520	24.21881	24.28809	23.95765	DDB_G0350235	tstD	TSPOON	sigma-like TSET complex subunit	C0HLF1
26.79975	26.84834	26.81800	26.81951	26.80500	26.70640	26.71752	26.67379	26.70864	26.77207	26.65599	26.73491	26.64373	26.65205	26.64896	DDB_G0286969	DDB_G0286969	NA	type A von Willebrand factor (VWFA) domain-containing protein, MIF4G-like, type 3 domain-containing protein, putative eukaryotic translation initiation factor 4 gamma (eIF4G)	C7G046
30.34355	30.41941	30.46207	30.51242	30.55081	30.53068	30.50886	30.61756	30.58921	30.22949	30.19503	30.21726	30.19633	29.64386	30.27080	DDB_G0275701	vatE	V-ATPase subunit E	vacuolar ATPase subunit E	O00780
27.88179	28.11265	27.88864	27.90081	28.04178	28.24845	28.14656	28.10222	28.18208	27.99346	28.13035	27.97662	28.06302	27.30685	28.02966	DDB_G0269104	calB	NA	calmodulin-like protein	O00897
