GO.ID	Term	cluster	Fis	Annotated	Significant	Expected	Enrichment
GO:0042244	spore wall assembly	1	8.4e-08	10	7	0.51	13.7254901960784
GO:0009988	cell-cell recognition	1	3.1e-05	5	4	0.25	16
GO:0031154	culmination involved in sorocarp develop...	1	3.5e-05	124	17	6.3	2.6984126984127
GO:0007275	multicellular organism development	1	5.1e-05	82	14	4.16	3.36538461538462
GO:0019236	response to pheromone	1	9e-05	6	4	0.3	13.3333333333333
GO:1902168	response to catechin	1	0.00039	8	4	0.41	9.75609756097561
GO:0000079	regulation of cyclin-dependent protein s...	1	0.00067	9	4	0.46	8.69565217391304
GO:0031153	slug development involved in sorocarp de...	1	0.00089	16	5	0.81	6.17283950617284
GO:0007155	cell adhesion	1	0.00102	86	12	4.37	2.74599542334096
GO:0030435	sporulation resulting in formation of a ...	1	0.0018	79	17	4.01	4.23940149625935
GO:0007186	G protein-coupled receptor signaling pat...	1	0.00281	71	10	3.61	2.77008310249307
GO:0043327	chemotaxis to cAMP	2	1.8e-05	76	45	27.26	1.6507703595011
GO:0007049	cell cycle	2	7.2e-05	203	94	72.82	1.2908541609448
GO:0007264	small GTPase mediated signal transductio...	2	0.00013	262	122	93.99	1.29801042664113
GO:0051301	cell division	2	4e-04	132	70	47.35	1.47835269271383
GO:0030163	protein catabolic process	2	0.00059	83	53	29.77	1.78031575411488
GO:0032148	activation of protein kinase B activity	2	0.00076	7	7	2.51	2.78884462151394
GO:0006270	DNA replication initiation	2	0.00166	9	8	3.23	2.47678018575851
GO:0000160	phosphorelay signal transduction system	2	0.00203	22	15	7.89	1.90114068441065
GO:0006470	protein dephosphorylation	2	0.00213	45	26	16.14	1.61090458488228
GO:0006272	leading strand elongation	2	0.00417	8	7	2.87	2.4390243902439
GO:0000281	mitotic cytokinesis	2	0.00471	79	40	28.34	1.41143260409315
GO:0033299	secretion of lysosomal enzymes	2	0.00592	5	5	1.79	2.79329608938547
GO:1903669	positive regulation of chemorepellent ac...	2	0.00592	5	5	1.79	2.79329608938547
GO:0031284	positive regulation of guanylate cyclase...	2	0.00592	5	5	1.79	2.79329608938547
GO:0007399	nervous system development	2	0.00592	5	5	1.79	2.79329608938547
GO:0006972	hyperosmotic response	2	0.00626	41	23	14.71	1.56356220258328
GO:0050765	negative regulation of phagocytosis	2	0.0067	12	9	4.3	2.09302325581395
GO:0043326	chemotaxis to folate	2	0.00729	22	14	7.89	1.7743979721166
GO:0031156	regulation of sorocarp development	2	0.00748	24	16	8.61	1.85830429732869
GO:0006793	phosphorus metabolic process	2	0.00904	620	256	222.41	1.15102738186233
GO:1903013	response to differentiation-inducing fac...	2	0.00944	31	18	11.12	1.61870503597122
GO:0006412	translation	3	1.2e-30	232	125	57.25	2.18340611353712
GO:0006457	protein folding	3	4.7e-05	71	33	17.52	1.88356164383562
GO:0009617	response to bacterium	3	1e-04	82	34	20.23	1.68067226890756
GO:0006418	tRNA aminoacylation for protein translat...	3	0.0014	40	19	9.87	1.92502532928065
GO:0008152	metabolic process	4	2.1e-06	2843	375	360.3	1.04079933388843
GO:0006364	rRNA processing	4	5.5e-06	71	23	9	2.55555555555556
GO:0006303	double-strand break repair via nonhomolo...	4	9e-05	8	6	1.01	5.94059405940594
GO:0010918	positive regulation of mitochondrial mem...	4	0.00024	9	6	1.14	5.26315789473684
GO:0010421	hydrogen peroxide-mediated programmed ce...	4	0.00024	9	6	1.14	5.26315789473684
GO:0006310	DNA recombination	4	3e-04	44	16	5.58	2.8673835125448
GO:0006281	DNA repair	4	0.00055	134	40	16.98	2.35571260306243
GO:0046113	nucleobase catabolic process	4	0.00115	5	4	0.63	6.34920634920635
GO:0000723	telomere maintenance	4	0.0031	6	4	0.76	5.26315789473684
GO:0006259	DNA metabolic process	4	0.00343	205	56	25.98	2.15550423402617
