# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-T" "8" "-a" "reference/D_discoideum_PASAua.gtf" "-o" "featureCounts_output.txt" "star_map/SRR1593424.bam" "star_map/SRR1593425.bam" "star_map/SRR1593426.bam" "star_map/SRR1593427.bam" "star_map/SRR1593428.bam" "star_map/SRR1593429.bam" "star_map/SRR1593430.bam" "star_map/SRR1593431.bam" "star_map/SRR1593432.bam" "star_map/SRR1593433.bam" "star_map/SRR1593434.bam" "star_map/SRR1593443.bam" "star_map/SRR1593444.bam" "star_map/SRR1593445.bam" "star_map/SRR1593446.bam" "star_map/SRR1593447.bam" "star_map/SRR1593448.bam" "star_map/SRR1593449.bam" "star_map/SRR1593450.bam" "star_map/SRR1593451.bam" "star_map/SRR1593452.bam" "star_map/SRR1593453.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map/SRR1593424.bam	star_map/SRR1593425.bam	star_map/SRR1593426.bam	star_map/SRR1593427.bam	star_map/SRR1593428.bam	star_map/SRR1593429.bam	star_map/SRR1593430.bam	star_map/SRR1593431.bam	star_map/SRR1593432.bam	star_map/SRR1593433.bam	star_map/SRR1593434.bam	star_map/SRR1593443.bam	star_map/SRR1593444.bam	star_map/SRR1593445.bam	star_map/SRR1593446.bam	star_map/SRR1593447.bam	star_map/SRR1593448.bam	star_map/SRR1593449.bam	star_map/SRR1593450.bam	star_map/SRR1593451.bam	star_map/SRR1593452.bam	star_map/SRR1593453.bam
DDB_G0277925	3;3	12156;13518	13273;14422	-;-	2023	104	41	39	52	83	52	62	154	270	174	133	83	49	56	104	98	104	66	188	117	190	166
DDB_G0277923	3;3;3	15087;15423;15811	15308;15543;16133	+;+;+	666	612	320	475	409	489	361	659	1036	1750	949	601	1058	914	777	1054	729	1289	778	1386	750	919	731
DDB_G0277927	3;3	16340;19356	19261;20087	-;-	3654	70	26	6	66	99	74	51	30	49	22	29	38	15	9	60	42	20	18	14	15	35	38
DDB_G0295679	3	22056	25478	+	3423	102	78	105	147	157	135	151	148	260	202	198	92	41	97	119	119	130	96	105	76	146	99
DDB_G0278585	3;3	25912;27556	27127;29204	+;+	2865	1	0	2	2	4	0	2	2	4	1	2	0	0	2	6	0	0	1	0	2	3	1
DDB_G0295681	3;3	32350;32667	32583;32802	+;+	370	332	135	93	82	108	97	108	71	74	47	46	554	621	257	330	314	180	50	122	185	102	87
DDB_G0277937	3	32979	35686	+	2708	7	7	9	15	7	8	5	6	7	5	2	8	1	7	3	0	2	5	3	6	8	5
DDB_G0278587	3;3;3	36191;36481;36746	36380;36598;37464	+;+;+	1027	50	28	31	42	55	40	16	16	17	10	8	6	11	15	24	19	21	28	10	14	7	10
DDB_G0277939	3	37703	39178	-	1476	6	3	8	10	13	7	5	9	7	6	3	6	2	6	8	10	9	0	1	6	16	3
DDB_G0277941	3;3;3	39324;39481;40010	39372;39927;41044	+;+;+	1531	43	34	61	74	63	53	75	70	83	64	61	37	56	80	113	83	59	41	51	48	89	60
DDB_G0295839	3	41608	42463	+	856	9	5	3	5	9	5	5	4	10	12	9	4	5	4	3	7	11	9	5	11	9	12
DDB_G0277943	3	42510	44638	-	2129	368	210	303	309	317	254	257	243	319	249	245	385	338	425	521	399	311	280	232	222	290	229
DDB_G0277945	3;3	44863;45862	45752;47063	+;+	2092	17	0	6	8	10	13	1	4	8	4	5	14	1	4	11	8	9	3	1	7	5	4
DDB_G0277947	3;3	47253;48642	48550;48787	-;-	1444	2168	375	254	339	420	361	974	1547	2842	2245	1625	2204	748	410	679	986	1225	828	2008	1437	1809	1318
DDB_G0277949	3;3	49404;54269	54148;54446	-;-	4923	63	77	153	156	186	125	107	128	289	220	241	34	70	126	160	100	119	72	125	75	163	131
DDB_G0277951	3;3;3	55099;55423;55799	55319;55652;55975	-;-;-	628	72	40	41	40	42	54	107	153	324	181	208	79	39	77	133	58	102	23	145	145	289	225
