PG.Pvalue;PG.Qvalue;PG.Cscore;PG.MolecularWeight;PG.ProteinGroups;PG.ProteinAccessions;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.NrOfStrippedSequencesMeasured;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.NrOfStrippedSequencesMeasured;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.NrOfStrippedSequencesMeasured;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.NrOfStrippedSequencesMeasured;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.NrOfModifiedSequencesMeasured;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.NrOfModifiedSequencesMeasured;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.NrOfModifiedSequencesMeasured;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.NrOfModifiedSequencesMeasured;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.Quantity;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.Quantity;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.Quantity;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.Quantity;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.Quantity;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.Quantity;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.Quantity;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.Quantity;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.Quantity;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.Quantity;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.Quantity;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.Quantity;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.MS2Quantity;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.MS2Quantity;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.MS2Quantity;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.MS2Quantity;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.MS2Quantity;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.MS2Quantity;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.MS2Quantity;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.MS2Quantity;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.MS2Quantity;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.MS2Quantity;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.MS2Quantity;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.MS2Quantity;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.IBAQ;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.IBAQ;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.IBAQ;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.IBAQ;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.IBAQ;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.IBAQ;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.IBAQ;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.IBAQ;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.IBAQ;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.IBAQ;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.IBAQ;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.IBAQ
0.000765845;0.000173541;1.034134;"NaN;NaN";"A0A2C9SN78;P0DPA1";"A0A2C9SN78;P0DPA1";22;22;22;22;22;22;22;22;22;22;22;22;24;24;24;24;24;24;24;24;24;24;24;24;111831.7891;418397.5625;474773.4375;431303.1563;351744.5313;505765.4375;319143.0625;430980.3438;88383.96875;114452.2266;403680.3125;419912.125;111831.7891;418397.5625;474773.4375;431303.1563;351744.5313;505765.4375;319143.0625;430980.3438;88383.96875;114452.2266;403680.3125;419912.125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001586459;0.000195593;1.018429;NaN;A9CLV7;A9CLV7;7;7;7;7;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;8;1059380.25;1248761;766180.875;1235912.5;1123448.875;1269534.5;1079143.75;1089017.875;1294435.375;1224973.5;1415836.875;1094584.625;1059380.25;1248761;766180.875;1235912.5;1123448.875;1269534.5;1079143.75;1089017.875;1294435.375;1224973.5;1415836.875;1094584.625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001299946;0.000180948;1.02282;NaN;A9CLV8;A9CLV8;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;2818092;2669771.75;1837480.375;2275358.75;1971504.5;2358256.75;2522345.75;2341846.75;2474484;2713036.25;2192077.75;1841671.25;2818092;2669771.75;1837480.375;2275358.75;1971504.5;2358256.75;2522345.75;2341846.75;2474484;2713036.25;2192077.75;1841671.25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001151935;0.000174991;1.025449;NaN;B0G0Y7;B0G0Y7;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;582342.125;601842.625;517422.2188;990374.25;1189352.875;872562.8125;792568.25;1101456.875;838188.75;819148.5625;908727.875;957997;582342.125;601842.625;517422.2188;990374.25;1189352.875;872562.8125;792568.25;1101456.875;838188.75;819148.5625;908727.875;957997;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001933558;0.000217198;1.013989;NaN;B0G0Y8;B0G0Y8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;66285.98438;71175.10938;96221.52344;63016.40625;40714.63672;85032.85938;42684.51563;39355.24609;34631.90234;109312.8438;63474.73828;67421.20313;66285.98438;71175.10938;96221.52344;63016.40625;40714.63672;85032.85938;42684.51563;39355.24609;34631.90234;109312.8438;63474.73828;67421.20313;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001263734;0.000179138;1.023437;NaN;B0G0Z0;B0G0Z0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;49636.25781;63230.5;56880.49219;65617.75781;83913.65625;49465.00391;47134.13281;52237.01953;53233.79297;60339.21875;60194.89844;97353.09375;49636.25781;63230.5;56880.49219;65617.75781;83913.65625;49465.00391;47134.13281;52237.01953;53233.79297;60339.21875;60194.89844;97353.09375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000337477;0.000173541;1.050762;NaN;B0G0Z1;B0G0Z1;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;186970.9531;179683.0781;119621.2969;336380.4688;317517.7188;303298.8125;279028.625;247066.0938;245007.9375;365524.75;266875.1563;284228.625;186970.9531;179683.0781;119621.2969;336380.4688;317517.7188;303298.8125;279028.625;247066.0938;245007.9375;365524.75;266875.1563;284228.625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000483019;0.000173541;1.043611;NaN;B0G0Z3;B0G0Z3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;119397.2344;144861.9063;114964.2031;100860.8359;92835.30469;157108.3281;46558.91797;168308.5781;99276.5;103684.25;117967.3281;94300.50781;119397.2344;144861.9063;114964.2031;100860.8359;92835.30469;157108.3281;46558.91797;168308.5781;99276.5;103684.25;117967.3281;94300.50781;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001924628;0.000216631;1.014094;"NaN;NaN";"B0G0Z5;B0G0Z4";"B0G0Z5;B0G0Z4";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;727920.125;1340238.5;1410533.875;1457454.25;1173514;1135348.5;1239797.625;1664037.5;1553344.75;1188208.875;1443387.25;1793783.5;727920.125;1340238.5;1410533.875;1457454.25;1173514;1135348.5;1239797.625;1664037.5;1553344.75;1188208.875;1443387.25;1793783.5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000618815;0.000173541;1.038559;NaN;B0G0Z6;B0G0Z6;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;725896.125;870461.25;857232.125;824683.9375;775471.875;842194.125;642608.75;750429.25;872149.5625;894497.8125;691963.875;517562.875;725896.125;870461.25;857232.125;824683.9375;775471.875;842194.125;642608.75;750429.25;872149.5625;894497.8125;691963.875;517562.875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
