GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID	2vs0	4vs0	8vs0	10vs0	tt_dev$adj.P.Val	wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c
DDB_G0295799	DDB_G0295799	NA	unknown	C7G077	 6.423623560168300	 6.47925404833	 6.7970730930	  6.47817125505	1.02283701411877e-08	   74.2622678	   54.8194730	   63.2863465	   44.5849732	   41.9571046	    1.5511521	    3.8662367	   34.2087089	   27.7915225	    2.0849576	   41.2960469	    2.1067374	    1.8791922	    2.7286019	    2.6245104
DDB_G0295801	DDB_G0295801	NA	B_lectin domain-containing protein	C7G078	 5.940128362200915	 6.02500759199	 6.2919166716	  6.12138934855	1.02283701411877e-08	   23.4067951	   20.8118237	   22.2678261	   20.9198206	   20.8050618	   14.9166979	   22.8992383	   18.3886444	   20.5623124	   10.7179939	   12.6426061	   10.2743413	    1.9688411	    3.9940505	    7.4141914
DDB_G0279799	cprB	CP2, pst-cath, 16G1	cysteine proteinase 2	P04989	 0.280780334428105	 0.08009697217	 5.9863641953	  6.64253116095	1.02283701411877e-08	   42.5969880	   48.7527827	   25.3257064	   47.3357066	   50.1555706	   48.9979303	   46.4418208	   50.6149748	   47.7262153	   35.8901129	   42.9611787	   44.8211579	   36.6315057	   51.4602606	   42.8868813
DDB_G0289073	csaA	csA, gp80	contact site A protein	P08796	 3.908674392619263	 5.35966956525	 7.2654595998	  6.96191942409	1.27008170260432e-08	   17.0702451	   11.8844206	   13.9248389	    9.6272934	    6.3732967	   16.9751133	    9.1664546	   12.0526409	   23.1483133	   10.4903313	   17.3501120	   11.5177792	   10.5076110	   14.5959239	   11.3091801
DDB_G0283611	cbpF	CBP6	calcium-binding protein	Q54QT9	-0.293857534879935	-0.02128975428	 6.1903343404	  6.84397343909	2.11436177510365e-08	   35.3571560	   24.6449992	   29.9410624	   25.4777312	   27.5640628	   27.6831716	   25.5834566	   22.8422078	   24.6862364	   26.2252729	   32.1688329	   33.6471571	   24.6100974	   33.1805297	   32.4018525
DDB_G0289997	DDB_G0289997	NA	NA	Q54GQ4	 0.096148236845269	 0.01134997050	 4.4434762536	  3.94674431044	3.78117724729844e-08	    2.3357190	    6.9956274	    8.5391258	    2.7766547	    3.1899763	    2.1865402	    7.8080622	    3.9528376	    3.6950456	   14.4400490	    1.8502662	    9.0448819	    5.9433100	    9.8718146	   14.9700558
DDB_G0290563	cupH	NA	ricin B lectin domain-containing protein, cup family protein	Q54FW5	 4.370025023231908	 4.40882409397	 4.1147072992	  3.57467915574	4.4959659682386e-08	   62.3555044	    1.7314595	  329.3395278	  349.7409032	  131.0115449	   82.2961042	   99.7662834	    2.7680048	  303.1458059	    1.9420672	   77.7863326	   69.1206446	   80.6297646	   72.1623401	    2.5868368
DDB_G0283789	dimt1l	NA	dimethyladenosine transferase	Q54QK7	-0.082434107207491	-0.72004349464	-3.5963579067	 -2.98879081506	4.4959659682386e-08	   10.0656886	    7.0829510	    8.9789111	    1.6876591	    2.2823620	    8.9807802	    8.2452393	    2.7775180	    6.8611604	    9.0871660	   10.5778962	    9.7455963	    2.1183469	   10.5347133	    7.5644074
DDB_G0273989	DDB_G0273989	NA	unknown	Q556K5	 0.143279354336477	 0.14767276545	 4.6449146848	  5.60527046225	4.4959659682386e-08	   33.4492359	   31.1983267	   32.1293929	   32.7991431	   30.3475624	   27.0016005	   28.2356791	   30.1020797	   34.0599568	   33.3174877	   31.5533401	   29.0175051	   31.3014618	   30.4918119	   27.7725540
DDB_G0292248	DDB_G0292248	NA	unknown	Q54DH5	-0.020677285391692	-0.09007514958	 5.0305316626	  5.30164257012	5.17902096447159e-08	   50.8487077	    2.1381174	   25.9107972	   35.7529759	   35.9357253	   32.6757784	   30.1936290	   42.3572923	   49.1032047	   47.7577766	   48.6072390	   82.1402083	   33.5276994	   79.9553199	   59.7670444
