Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	wt_0h_1 Spectral Count	wt_0h_2 Spectral Count	wt_0h_3 Spectral Count	wt_10h_1 Spectral Count	wt_10h_2 Spectral Count	wt_10h_3 Spectral Count	wt_2h_1 Spectral Count	wt_2h_2 Spectral Count	wt_2h_3 Spectral Count	wt_4h_1 Spectral Count	wt_4h_2 Spectral Count	wt_4h_3 Spectral Count	wt_8h_1 Spectral Count	wt_8h_2 Spectral Count	wt_8h_3 Spectral Count	wt_0h_1 Unique Spectral Count	wt_0h_2 Unique Spectral Count	wt_0h_3 Unique Spectral Count	wt_10h_1 Unique Spectral Count	wt_10h_2 Unique Spectral Count	wt_10h_3 Unique Spectral Count	wt_2h_1 Unique Spectral Count	wt_2h_2 Unique Spectral Count	wt_2h_3 Unique Spectral Count	wt_4h_1 Unique Spectral Count	wt_4h_2 Unique Spectral Count	wt_4h_3 Unique Spectral Count	wt_8h_1 Unique Spectral Count	wt_8h_2 Unique Spectral Count	wt_8h_3 Unique Spectral Count	wt_0h_1 Total Spectral Count	wt_0h_2 Total Spectral Count	wt_0h_3 Total Spectral Count	wt_10h_1 Total Spectral Count	wt_10h_2 Total Spectral Count	wt_10h_3 Total Spectral Count	wt_2h_1 Total Spectral Count	wt_2h_2 Total Spectral Count	wt_2h_3 Total Spectral Count	wt_4h_1 Total Spectral Count	wt_4h_2 Total Spectral Count	wt_4h_3 Total Spectral Count	wt_8h_1 Total Spectral Count	wt_8h_2 Total Spectral Count	wt_8h_3 Total Spectral Count	wt_0h_1 Intensity	wt_0h_2 Intensity	wt_0h_3 Intensity	wt_10h_1 Intensity	wt_10h_2 Intensity	wt_10h_3 Intensity	wt_2h_1 Intensity	wt_2h_2 Intensity	wt_2h_3 Intensity	wt_4h_1 Intensity	wt_4h_2 Intensity	wt_4h_3 Intensity	wt_8h_1 Intensity	wt_8h_2 Intensity	wt_8h_3 Intensity	wt_0h_1 MaxLFQ Intensity	wt_0h_2 MaxLFQ Intensity	wt_0h_3 MaxLFQ Intensity	wt_10h_1 MaxLFQ Intensity	wt_10h_2 MaxLFQ Intensity	wt_10h_3 MaxLFQ Intensity	wt_2h_1 MaxLFQ Intensity	wt_2h_2 MaxLFQ Intensity	wt_2h_3 MaxLFQ Intensity	wt_4h_1 MaxLFQ Intensity	wt_4h_2 MaxLFQ Intensity	wt_4h_3 MaxLFQ Intensity	wt_8h_1 MaxLFQ Intensity	wt_8h_2 MaxLFQ Intensity	wt_8h_3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	O77727	K1C15_SHEEP	KRT15	453	Ovis aries	2:Experimental evidence at transcript level	Keratin, type I cytoskeletal 15	1.0	0.999	7	11	11	40	0	0	0	2	1	0	0	1	2	0	1	0	4	0	0	0	0	0	2	1	0	0	1	2	0	1	0	4	0	0	0	0	3	4	3	2	1	7	2	2	3	2	10	1	0	1.8108428E7	3549770.2	4519772.5	4.0669848E7	2.2621938E7	4818713.0	0.0	6.092856E7	2.3257196E7	3.2266202E7	7.560996E7	2.2219812E7	5.5100749E8	0.0	0.0	1.8108428E7	3549770.2	4519772.5	4.5113536E7	2.2621938E7	4818713.0	0.0	6.092856E7	2.3257196E7	3.3063476E7	7.560996E7	2.2219812E7	4.84755232E8	0.0	0.0	
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	9	1469	1469	1469	82	82	95	93	86	84	81	72	233	86	79	76	96	131	93	82	82	95	93	86	84	81	72	233	86	79	76	96	131	93	82	82	95	93	86	84	81	72	233	86	79	76	96	131	93	7.4426229E10	8.1241588E10	2.98266624E10	7.2155095E10	4.11133978E9	4.4383826E10	3.7969195E10	7.103864E10	1.59827657E11	9.6836059E10	8.2423652E10	2.97039155E10	1.08718752E11	1.17662786E11	9.9052782E10	5.9882168E10	5.7189372E10	4.6684451E10	1.21907241E11	9.2333457E10	8.9517433E10	6.0385325E10	5.9141562E10	3.15128316E11	8.8564695E10	5.531007E10	4.6991737E10	1.06833404E11	1.13070432E11	9.8071716E10	
contam_sp|P00883|ALDOA_RABIT	P00883	ALDOA_RABIT	ALDOA	364	Oryctolagus cuniculus	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	0.9784	0.999	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02440|KRB2C_SHEEP	P02440	KRB2C_SHEEP		152	Ovis aries	1:Experimental evidence at protein level	Keratin, high-sulfur matrix protein, B2C	0.9995	0.999	2	2	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9840808E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02441|KRA3_SHEEP	P02441	KRA3_SHEEP		131	Ovis aries	1:Experimental evidence at protein level	Keratin, high-sulfur matrix protein, IIIA3	0.9994	0.999	3	4	1	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	3.2991656E7	0.0	2.79125056E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2991656E7	0.0	2.14079472E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02443|KRA3A_SHEEP	P02443	KRA3A_SHEEP		130	Ovis aries	1:Experimental evidence at protein level	Keratin, high-sulfur matrix protein, IIIA3A	0.9994	0.999	3	1	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	7899063.5	0.0	3.6467616E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7899063.5	0.0	3.6467616E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02444|KRA33_SHEEP	P02444	KRA33_SHEEP		98	Ovis aries	1:Experimental evidence at protein level	Keratin, high sulfur matrix protein, IIIB3	0.9784	0.999	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	2.0355658E7	3.6881756E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0355658E7	3.6881756E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	contam_sp|P02445|KRA34_SHEEP
contam_sp|P02534|K1M1_SHEEP	P02534	K1M1_SHEEP		412	Ovis aries	1:Experimental evidence at protein level	Keratin, type I microfibrillar 48 kDa, component 8C-1	1.0	0.999	25	65	7	79	1	0	0	20	0	22	0	22	0	0	0	0	0	0	0	0	0	0	2	0	2	0	3	0	0	0	0	0	0	0	1	0	1	22	1	23	1	24	0	1	1	1	2	1	0	0.0	0.0	3.43102816E8	1.86259891E9	0.0	1.52535386E9	3979189.8	5.32975552E8	3.71234304E8	3.23876032E8	0.0	7862073.5	3.36839936E8	0.0	0.0	0.0	0.0	2.61608784E8	1.3746281E9	0.0	7.4157043E8	2.6753078E7	9.239369E8	2.83058464E8	2.46948752E8	0.0	3.7884596E7	1.45298432E8	4.5546564E7	0.0	
contam_sp|P02539|K2M1_SHEEP	P02539	K2M1_SHEEP		109	Ovis aries	1:Experimental evidence at protein level	Keratin, type II microfibrillar (Fragment)	1.0	0.999	7	12	11	19	0	0	0	2	0	6	0	4	0	0	0	0	0	0	0	0	0	0	2	0	6	0	3	0	0	0	0	0	0	0	0	0	0	5	0	9	0	5	0	0	0	0	0	0	0	0.0	0.0	0.0	6.0925914E8	0.0	4.9495136E8	0.0	2.85269344E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11837888E8	0.0	5.5410637E8	0.0	2.94286592E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus	1:Experimental evidence at protein level	Alpha-S1-casein	0.9995	0.999	2	5	5	5	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0.0	0.0	0.0	1.5458763E7	0.0	1.9835754E7	1939297.6	0.0	2166318.8	9419464.0	0.0	0.0	8.3165824E7	0.0	0.0	0.0	0.0	0.0	1.6740567E7	0.0	2.1480488E7	2100099.5	0.0	2345944.8	1.0200504E7	0.0	0.0	9.0065328E7	0.0	0.0	
