# Program:featureCounts v2.0.0; Command:featureCounts -a reference/D_discoideum_PASAua.gtf -o featureCounts/counts.txt -s 2 -T 4 merged_mapped/SI-2309-FS146-0h-h.bam merged_mapped/SI-2309-FS146-0h-i.bam merged_mapped/SI-2309-FS146-0h-j.bam merged_mapped/SI-2309-FS146-0h-k.bam merged_mapped/SI-2309-FS146-10h-h.bam merged_mapped/SI-2309-FS146-10h-i.bam merged_mapped/SI-2309-FS146-10h-j.bam merged_mapped/SI-2309-FS146-10h-k.bam merged_mapped/SI-2309-FS146-2h-h.bam merged_mapped/SI-2309-FS146-2h-i.bam merged_mapped/SI-2309-FS146-2h-j.bam merged_mapped/SI-2309-FS146-2h-k.bam merged_mapped/SI-2309-FS146-4h-h.bam merged_mapped/SI-2309-FS146-4h-i.bam merged_mapped/SI-2309-FS146-4h-j.bam merged_mapped/SI-2309-FS146-4h-k.bam merged_mapped/SI-2309-FS146-6h-h.bam merged_mapped/SI-2309-FS146-6h-i.bam merged_mapped/SI-2309-FS146-6h-j.bam merged_mapped/SI-2309-FS146-6h-k.bam merged_mapped/SI-2309-FS146-8h-h.bam merged_mapped/SI-2309-FS146-8h-i.bam merged_mapped/SI-2309-FS146-8h-j.bam merged_mapped/SI-2309-FS146-8h-k.bam																													
Geneid	Chr	Start	End	Strand	Length	merged_mapped/SI-2309-FS146-0h-h.bam	merged_mapped/SI-2309-FS146-0h-i.bam	merged_mapped/SI-2309-FS146-0h-j.bam	merged_mapped/SI-2309-FS146-0h-k.bam	merged_mapped/SI-2309-FS146-10h-h.bam	merged_mapped/SI-2309-FS146-10h-i.bam	merged_mapped/SI-2309-FS146-10h-j.bam	merged_mapped/SI-2309-FS146-10h-k.bam	merged_mapped/SI-2309-FS146-2h-h.bam	merged_mapped/SI-2309-FS146-2h-i.bam	merged_mapped/SI-2309-FS146-2h-j.bam	merged_mapped/SI-2309-FS146-2h-k.bam	merged_mapped/SI-2309-FS146-4h-h.bam	merged_mapped/SI-2309-FS146-4h-i.bam	merged_mapped/SI-2309-FS146-4h-j.bam	merged_mapped/SI-2309-FS146-4h-k.bam	merged_mapped/SI-2309-FS146-6h-h.bam	merged_mapped/SI-2309-FS146-6h-i.bam	merged_mapped/SI-2309-FS146-6h-j.bam	merged_mapped/SI-2309-FS146-6h-k.bam	merged_mapped/SI-2309-FS146-8h-h.bam	merged_mapped/SI-2309-FS146-8h-i.bam	merged_mapped/SI-2309-FS146-8h-j.bam	merged_mapped/SI-2309-FS146-8h-k.bam
DDB_G0277925	3;3	12156;13518	13273;14422	-;-	2023	804	1061	870	999	458	526	257	198	282	363	151	119	965	348	252	303	938	517	679	929	684	322	242	300
DDB_G0277923	3;3;3	15087;15423;15811	15308;15543;16133	+;+;+	666	7371	7825	8021	7397	10791	8645	4537	3968	7973	6985	7013	2733	15144	5985	11013	6037	22583	10976	9547	9602	28447	6265	11954	14184
DDB_G0277927	3;3	16340;19356	19261;20087	-;-	3654	96	205	216	339	103	138	108	49	133	96	28	39	148	84	155	138	172	187	307	263	114	52	89	75
DDB_G0295679	3	22056	25478	+	3423	899	1279	896	825	748	732	560	359	1151	1126	415	283	1249	536	547	502	949	458	640	621	634	433	320	582
DDB_G0278585	3;3	25912;27556	27127;29204	+;+	2865	2	4	0	0	8	1	1	1	12	9	7	5	6	0	3	2	2	1	0	3	10	0	1	3
DDB_G0295681	3;3	32350;32667	32583;32802	+;+	370	2242	3042	2333	2367	1332	920	954	553	1542	1010	925	309	1513	483	1151	726	1144	964	698	472	1704	521	1080	1023
DDB_G0277937	3	32979	35686	+	2708	160	258	233	186	22	32	26	12	81	68	26	12	60	18	68	33	48	43	45	34	39	14	29	23
DDB_G0278587	3;3;3	36191;36481;36746	36380;36598;37464	+;+;+	1027	67	152	72	67	25	8	23	13	55	134	19	31	31	7	18	38	11	4	12	3	6	9	7	8
DDB_G0277939	3	37703	39178	-	1476	40	40	29	27	21	28	17	25	41	24	28	9	38	16	22	22	50	14	30	34	32	12	17	23
DDB_G0277941	3;3;3	39324;39481;40010	39372;39927;41044	+;+;+	1531	430	349	287	302	172	211	107	99	385	358	188	100	455	137	146	123	407	208	200	259	216	123	75	153
DDB_G0295839	3	41608	42463	+	856	31	29	34	47	44	67	43	41	23	20	40	24	66	25	29	29	177	55	89	117	80	27	74	91
DDB_G0277943	3	42510	44638	-	2129	4393	5910	4101	3938	812	1521	770	434	3449	2697	1059	566	2861	933	1266	881	2217	1823	1368	1532	1520	504	367	664
DDB_G0277945	3;3	44863;45862	45752;47063	+;+	2092	50	55	42	48	138	111	79	68	69	44	24	16	63	21	47	36	70	59	65	51	114	28	44	69
DDB_G0277947	3;3	47253;48642	48550;48787	-;-	1444	17717	26896	30313	35509	15674	11071	8831	6507	7960	4061	4449	2180	23434	5426	2048	3429	18013	5914	7542	11453	16056	9371	12241	15719
DDB_G0277949	3;3	49404;54269	54148;54446	-;-	4923	623	1210	821	939	1115	566	725	643	681	742	413	467	507	202	356	464	680	289	627	425	839	563	614	849
