Entry	Length	Annotation	Mass
B0G0Y8	466	5.0	53121
B0G126	2656	5.0	299097
O00835	800	5.0	90257
O00841	802	5.0	91743
O00899	860	5.0	98825
O00909	182	5.0	20682
O00910	707	5.0	79792
O15706	598	5.0	66288
O15743	975	5.0	109016
O15819	139	5.0	15702
O60952	199	5.0	22058
O60999	770	5.0	89335
O61122	478	5.0	52616
O61125	461	5.0	52453
O76329	1738	5.0	204427
O76856	383	5.0	41121
O77203	1148	5.0	129529
O77229	496	5.0	55680
O96390	193	5.0	21830
O96621	392	5.0	44238
O96622	369	5.0	41066
O96623	293	5.0	32932
O96624	174	5.0	19548
O96625	169	5.0	19602
O96626	138	5.0	15137
O96759	611	5.0	69408
O96923	1087	5.0	124778
O97101	1000	5.0	114270
P02599	152	5.0	17151
P02886	253	5.0	28259
P02887	253	5.0	28392
P02888	253	5.0	28307
P03967	187	5.0	21202
P05095	861	5.0	97358
P05817	284	5.0	31009
P05987	327	5.0	36836
P07829	376	5.0	41841
P07830	376	5.0	41733
P08796	514	5.0	53655
P08799	2116	5.0	243786
P0CE94	1279	5.0	139484
P0CT31	453	5.0	49662
P0CT32	453	5.0	49662
P0DJ26	137	5.0	15224
P10733	362	5.0	39870
P10819	431	5.0	47280
P12019	452	5.0	51093
P12729	168	5.0	17879
P13231	118	5.0	13456
P13466	857	5.0	92207
P13723	532	5.0	59788
P13773	392	5.0	44312
P15064	189	5.0	21333
P16051	357	5.0	40841
P16894	356	5.0	40188
P18160	2410	5.0	264919
P18161	1155	5.0	127437
P18613	186	5.0	21006
P20054	2225	5.0	246027
P20425	195	5.0	22074
P20790	208	5.0	23244
P22467	994	5.0	113360
P22887	155	5.0	16794
P24005	295	5.0	33353
P24639	462	5.0	51172
P25323	295	5.0	33407
P25870	1694	5.0	193599
P26199	126	5.0	13064
P26200	124	5.0	12730
P27133	445	5.0	49215
P28178	479	5.0	52994
P29445	105	5.0	11926
P32252	197	5.0	22268
P32253	189	5.0	21496
P32254	194	5.0	22266
P32255	457	5.0	50961
P32256	455	5.0	51336
P34036	4730	5.0	539613
P34042	345	5.0	40138
P34043	347	5.0	40407
P34046	403	5.0	46312
P34092	1111	5.0	124257
P34093	220	5.0	23998
P34098	1010	5.0	113429
P34099	648	5.0	74458
P34109	1109	5.0	124024
P34112	296	5.0	33773
P34114	993	5.0	113104
P34115	730	5.0	80961
P34116	734	5.0	81063
P34117	292	5.0	33219
P34125	887	5.0	99177
P34137	522	5.0	59554
P34142	212	5.0	23490
P34144	194	5.0	21572
P34145	194	5.0	21676
P34146	193	5.0	21550
P34148	195	5.0	22091
P34149	192	5.0	21691
P34907	375	5.0	43301
P35352	490	5.0	56161
P35401	698	5.0	78630
P36408	347	5.0	38623
P36409	207	5.0	23093
P36410	206	5.0	23135
P36411	203	5.0	22695
P36412	214	5.0	23986
P36417	708	5.0	79312
P36967	315	5.0	33174
P42522	1182	5.0	132965
P42523	889	5.0	97443
P42525	529	5.0	61303
P42526	118	5.0	13634
P42527	1146	5.0	128962
P42528	418	5.0	46698
P42530	257	5.0	28575
P46800	329	5.0	36231
P51136	467	5.0	51483
P52285	162	5.0	18718
P54201	837	5.0	94966
P54632	252	5.0	28704
P54637	990	5.0	110110
P54644	444	5.0	51062
P54654	464	5.0	49641
P54657	213	5.0	23926
P54660	143	5.0	14770
P54671	180	5.0	18860
P54672	439	5.0	49785
P54673	1571	5.0	178472
P54674	1857	5.0	203822
P54678	1115	5.0	120677
P54679	1058	5.0	117268
P54681	367	5.0	35423
P54683	1906	5.0	212647
P54685	360	5.0	40567
P54686	597	5.0	63976
P54695	1071	5.0	124048
P54697	2245	5.0	258684
P54703	654	5.0	72328
P54704	532	5.0	59506
P90521	834	5.0	92235
P90648	732	5.0	83168
Q00766	853	5.0	98277
Q02158	801	5.0	91280
Q02720	337	5.0	39898
Q03100	1407	5.0	159702
Q03101	858	5.0	98380
Q03380	185	5.0	20697
Q03479	1005	5.0	114795
Q1ZXH8	1632	5.0	181123
Q1ZXK2	1074	5.0	118522
Q1ZXQ8	2013	5.0	223812
Q23862	223	5.0	24373
Q23868	1741	5.0	193884
Q23917	793	5.0	91176
Q27564	227	5.0	25494
Q4W6B5	469	5.0	52626
Q54AX5	510	5.0	56807
Q54BD4	931	5.0	107204
Q54BK1	303	5.0	34876
Q54BM7	1053	5.0	118182
Q54BW5	179	5.0	19532
Q54CK6	217	5.0	25225
Q54CK9	472	5.0	50922
Q54D08	304	5.0	33481
Q54D73	423	5.0	48206
Q54DD0	790	5.0	90954
Q54DE8	473	5.0	52559
Q54E04	815	5.0	93288
Q54EH1	686	5.0	75837
Q54ER9	602	5.0	68452
Q54ET0	816	5.0	89935
Q54ET2	622	5.0	69503
Q54F25	421	5.0	46557
Q54F44	1142	5.0	132499
Q54FI3	2968	5.0	329909
Q54FX2	1312	5.0	149427
Q54GC1	330	5.0	37330
Q54GD0	920	5.0	102301
Q54GH3	663	5.0	75375
Q54GP3	267	5.0	30187
Q54GT9	398	5.0	46061
Q54GV7	542	5.0	62142
Q54GX7	376	5.0	41747
Q54H46	642	5.0	72324
Q54HC6	1460	5.0	161727
Q54HG2	444	5.0	50505
Q54HH2	324	5.0	35092
Q54HI5	716	5.0	81350
Q54HS3	1486	5.0	170527
Q54HS9	428	5.0	48565
Q54HT1	1336	5.0	155247
Q54HY0	425	5.0	48505
Q54I18	1046	5.0	119988
Q54I36	1338	5.0	149944
Q54I71	757	5.0	85924
Q54IL5	1697	5.0	190915
Q54IR8	1164	5.0	134897
Q54JC7	1347	5.0	152496
Q54JH4	388	5.0	43829
Q54JH6	379	5.0	44115
Q54JL7	639	5.0	71714
Q54JW0	436	5.0	50194
Q54JY7	356	5.0	40219
Q54K32	822	5.0	94925
Q54K81	2614	5.0	277729
Q54KB7	502	5.0	55042
Q54KF1	1158	5.0	131001
Q54KF7	1927	5.0	208361
Q54KQ7	655	5.0	73762
Q54L90	1601	5.0	177519
Q54MH2	842	5.0	92839
Q54MH8	808	5.0	92714
Q54N00	1087	5.0	121580
Q54NA3	699	5.0	81314
Q54ND5	635	5.0	70382
Q54NF8	443	5.0	48403
Q54NL4	403	5.0	45612
Q54NP8	1922	5.0	222483
Q54NW4	553	5.0	60341
Q54NW7	216	5.0	24772
Q54PC2	626	5.0	71956
Q54PK9	908	5.0	102361
Q54PQ4	605	5.0	70793
Q54PT9	932	5.0	104316
Q54QB1	369	5.0	41978
Q54QE6	512	5.0	57413
Q54QG0	769	5.0	89838
Q54QQ1	1387	5.0	154449
Q54QR9	584	5.0	65076
Q54QV3	1458	5.0	166973
Q54R41	342	5.0	39660
Q54R82	942	5.0	105796
Q54RB7	527	5.0	59447
Q54RP0	648	5.0	75244
Q54RQ1	407	5.0	43572
Q54RR8	254	5.0	27893
Q54RV9	528	5.0	58239
Q54S40	1312	5.0	143659
Q54S83	484	5.0	55025
Q54SM3	179	5.0	19008
Q54SP2	1126	5.0	123608
Q54SS8	418	5.0	46889
Q54T13	464	5.0	53056
Q54T81	540	5.0	60804
Q54T86	568	5.0	64751
Q54TA1	749	5.0	83465
Q54TL0	1255	5.0	141959
Q54TM7	1288	5.0	147339
Q54TR1	531	5.0	58638
Q54TW2	686	5.0	75562
Q54TY7	418	5.0	47546
Q54U87	2150	5.0	239636
Q54U89	708	5.0	78003
Q54UC0	4299	5.0	494476
Q54UC9	1193	5.0	130532
